mA,O2frac,mm,slm,Vdis,diluted,NO,NO2,HONO,number,R2
20,0.019607843,2,0.5,0.552,0,208.8079558,8.901427969,0.124888073,5,0.740537992
20,0.019607843,2,1,0.547,0,84.00280659,3.968062859,2.241469353,5,0.881644692
20,0.019607843,2,3,0.554,0,54.08782834,3.64563616,3.710060324,5,0.678390271
20,0.019607843,5,0.5,0.85,0,651.4118783,30.84448482,9.414372061,5,0.661887976
20,0.019607843,5,1,0.88,0,322.2808562,6.829661729,1.37054424,4.5,0.769834021
20,0.019607843,5,3,0.875,0,109.4223613,4.08947533,6.350992215,5,0.902078431
20,0.019607843,5,5,0.914,0,61.34729647,2.321996814,4.919732055,4.5,0.78854559
20,0.019607843,8,0.5,1.11,0,1011.019356,48.20262261,7.458220008,5,0.951858201
20,0.019607843,8,1,1.11,0,597.116882,16.35968594,0.534282228,5,0.925757857
20,0.019607843,8,3,1.19,0,287.3582716,8.389951695,22.10294032,5,0.900610104
20,0.019607843,8,5,1.25,0,106.6671118,2.564875791,3.28E-07,4.5,0.771415608
20,0.019607843,12,0.5,1.48,0,484.3833268,10.93059525,1.04E-05,5,0.932489516
20,0.019607843,12,1,1.48,0,567.2203504,14.0588311,3.28E-07,5.5,0.899390009
20,0.019607843,12,3,1.63,0,321.0207175,8.978303942,7.79E-07,5,0.931598893
20,0.019607843,15,0.5,1.64,0,1895.288876,112.4931684,4.68E-08,5,0.960553849
20,0.019607843,15,1,1.72,0,710.453874,19.42341062,3.855023276,5,0.938693515
20,0.019607843,15,3,1.88,0,362.6664658,9.806395539,2.860405154,5,0.930602568
20,0.090909091,2,0.5,0.546,0,487.0022735,26.35033503,10.00752948,5,0.951532195
20,0.090909091,2,1,0.546,0,310.3281631,20.30589024,3.290854885,5,0.955702721
20,0.090909091,2,3,0.552,0,105.2055311,4.472711093,2.847015983,5,0.694596211
20,0.090909091,2,5,0.559,0,34.97537445,1.123739133,8.25E-11,1,0.50393286
20,0.090909091,2,7,0.572,0,50.98390343,2.367668131,2.203771563,3.8,0.694629549
20,0.090909091,5,0.5,0.829,0,940.9098555,130.7260682,5.576007202,5,0.983338606
20,0.090909091,5,1,0.833,0,575.6832728,30.02813858,1.090818226,5,0.942138166
20,0.090909091,5,3,0.87,0,254.3728218,6.958555299,0.407122885,5,0.838840361
20,0.090909091,5,5,0.91,0,157.8404891,3.329539895,3.780633049,5,0.791876698
20,0.090909091,5,7,0.988,0,109.7971509,2.899748478,2.705234096,5,0.827475732
20,0.090909091,8,0.5,1.23,0,1342.312964,228.2743064,22.25019179,7,0.989295016
20,0.090909091,8,1,1.13,0,935.3510487,100.5038775,4.10E-09,5,0.967248583
20,0.090909091,8,3,1.21,0,462.8929771,25.60897704,4.030908985,5,0.937605883
20,0.090909091,8,5,1.3,0,284.5266943,11.06019082,5.903529177,5,0.942306492
20,0.090909091,8,7,1.39,0,223.1733466,7.573053681,7.111677959,5,0.937556146
20,0.090909091,12,0.5,1.44,0,2399.117727,848.6277861,140.915657,4.875,0.995794946
20,0.090909091,12,1,1.48,0,1861.757074,332.0289688,17.89872343,5,0.990473424
20,0.090909091,12,3,1.6,0,776.7907893,46.11990909,1.10E-11,5,0.954621347
20,0.090909091,15,0.5,1.64,0,2692.408738,1054.252347,238.4125742,5,0.995620647
20,0.090909091,15,1,1.68,0,2073.114756,400.0157635,31.28450726,5,0.991705637
20,0.090909091,15,3,1.9,0,904.3936364,53.4747699,2.486931898,5,0.957339889
20,0.2095,2,0.5,0.539,0,527.0482174,101.5851218,1.00E-07,5,0.984339606
20,0.2095,2,1,0.546,0,326.6348135,42.84009972,3.210590854,5,0.9806431
20,0.2095,2,3,0.54,0,137.1805793,9.523292845,0.330071781,5,0.929873238
20,0.2095,2,5,0.556,0,82.04801756,3.313989232,1.404781932,5,0.876176569
20,0.2095,2,7,0.576,0,43.06527275,1.162871771,3.16E-07,4.833333333,0.605132293
20,0.2095,5,0.5,0.895,0,1138.071374,517.628828,93.28548622,5,0.996648088
20,0.2095,5,1,0.825,0,700.0613685,90.28408416,9.397488198,5,0.984745847
20,0.2095,5,3,0.859,0,346.1423207,15.04035245,7.531260107,5,0.934684063
20,0.2095,5,5,0.884,0,222.9683916,8.014224491,10.05979692,5,0.882961046
20,0.2095,5,7,0.947,0,177.5700598,6.312663733,11.23312172,5,0.873315979
20,0.2095,8,0.5,1.14,0,1315.730027,603.3230941,76.49710563,5,0.996553928
20,0.2095,8,1,1.22,0,1107.444538,269.859436,18.58121621,5,0.993436411
20,0.2095,8,3,1.25,0,618.5209568,57.82528099,4.481716097,5,0.972572741
20,0.2095,8,5,1.31,0,381.3291335,19.15647035,6.412236143,5,0.947670576
20,0.2095,12,0.5,1.44,3,617.2801827,114.7681204,6.227591405,5.375,0.99001869
20,0.2095,12,1,1.48,0,1923.466583,917.52935,173.0276214,5,0.996420069
20,0.2095,12,3,1.6,0,919.6452848,111.894675,9.27E-08,5,0.980366316
20,0.2095,15,0.5,1.66,3,736.8694234,178.4270126,1.09E-10,5,0.992083523
20,0.2095,15,1,1.72,0,2089.911693,1007.223598,223.8586398,5,0.996209
20,0.2095,15,3,1.85,0,1049.740361,124.1116768,2.693078016,5,0.981420246
20,0.5,8,0.5,1.18,0,1162.411926,1109.949793,153.0633651,5,0.996633548
20,0.5,8,1,1.17,0,1152.688419,525.9994515,38.66910312,5.375,0.997443639
20,0.5,8,3,1.23,0,577.2865713,68.83624342,5.72E-09,5,0.972805383
20,0.5,8,5,1.27,0,356.002211,20.07795613,1.224202828,5,0.937604622
30,0.019607843,2,0.5,0.502,0,272.9164567,10.16183962,1.91E-08,5,0.713060237
30,0.019607843,2,1,0.492,0,113.6099477,5.02048288,1.347056744,5,0.882315034
30,0.019607843,2,3,0.513,0,70.53660741,3.82035426,4.869832391,5,0.845101898
30,0.019607843,5,0.5,0.742,0,843.409124,36.65159115,1.33E-08,5,0.863075403
30,0.019607843,5,1,0.762,0,302.5007681,2.687039253,1.298184294,5,0.62229379
